DIVISION,ST,AGEP,CIT,MAR,SCHL,WAGP,NATIVITY
9,53,16,1,1,17.0,8,1
5,12,44,4,1,1.0,0,2
1,33,41,1,2,21.0,0,1
3,17,36,1,1,17.0,0,1
5,45,26,1,1,16.0,6,1
5,24,17,1,5,17.0,0,1
9,41,36,1,3,16.0,0,1
4,29,9,1,5,16.0,0,1
3,39,0,1,5,0.0,0,1
9,6,1,1,5,2.0,0,1
3,26,3,1,5,2.0,0,1
9,6,19,1,5,21.0,6,1
9,6,48,1,3,22.0,0,1
3,17,34,1,3,19.0,0,1
5,12,35,1,5,18.0,0,1
5,12,20,1,3,19.0,0,1
3,17,26,1,3,22.0,5,1
6,21,35,1,2,11.0,2,1
3,18,15,1,5,22.0,1,1
7,40,36,5,1,20.0,1,2
5,12,7,1,5,10.0,0,1
2,42,48,1,2,22.0,0,1
9,6,21,4,1,21.0,19,2
6,21,24,1,1,21.0,2,1
9,6,5,1,5,8.0,0,1
5,12,14,1,5,17.0,0,1
9,6,8,1,5,12.0,0,1
5,12,1,1,5,0.0,0,1
7,5,1,1,5,0.0,0,1
9,6,18,1,1,18.0,4,1
8,30,19,1,3,16.0,1,1
9,6,20,1,5,22.0,45,1
5,45,8,1,5,14.0,0,1
7,22,28,1,1,16.0,4,1
3,18,11,1,5,16.0,0,1
9,53,18,1,5,17.0,0,1
4,27,32,1,1,20.0,0,1
3,18,41,1,3,12.0,0,1
4,27,15,1,3,16.0,2,1
8,49,8,1,5,14.0,0,1
9,6,24,1,1,22.0,0,1
7,22,39,1,1,19.0,0,1
5,24,45,1,1,22.0,0,1
2,36,27,1,4,20.0,0,1
4,29,29,1,1,23.0,0,1
7,48,37,1,5,18.0,0,1
5,12,7,1,5,13.0,0,1
5,13,21,1,4,19.0,0,1
5,13,16,1,5,13.0,0,1
5,12,4,1,5,5.0,0,1
9,6,13,1,5,21.0,2,1
5,51,29,1,1,21.0,3,1
3,17,45,4,1,1.0,0,2
7,48,40,1,2,12.0,0,1
1,25,18,1,3,22.0,10,1
5,37,20,1,5,16.0,2,1
4,31,7,1,5,12.0,0,1
3,26,48,1,2,22.0,0,1
7,48,6,1,5,9.0,0,1
6,1,15,1,5,22.0,3,1
5,12,7,1,5,11.0,0,1
9,6,30,1,3,19.0,1,1
9,6,23,1,5,17.0,0,1
7,22,11,1,5,16.0,0,1
5,51,25,1,1,18.0,6,1
5,12,22,1,5,14.0,0,1
6,47,28,1,1,16.0,4,1
9,6,14,1,5,21.0,3,1
3,17,1,1,5,2.0,0,1
5,37,43,1,3,18.0,0,1
9,6,19,1,5,20.0,0,1
2,34,38,1,1,21.0,8,1
2,36,11,1,5,19.0,0,1
9,6,1,1,5,0.0,0,1
3,39,6,1,5,9.0,0,1
3,39,8,1,5,12.0,0,1
1,9,6,4,5,10.0,0,2
2,42,35,1,3,18.0,0,1
3,17,11,1,5,22.0,1,1
6,1,36,1,1,17.0,5,1
3,26,28,1,3,17.0,0,1
3,55,48,1,3,19.0,0,1
8,32,10,1,5,19.0,1,1
6,47,43,1,1,16.0,0,1
3,26,29,1,3,16.0,0,1
5,37,37,4,5,24.0,0,2
6,47,42,1,1,18.0,0,1
5,12,30,1,1,16.0,0,1
5,12,24,1,1,17.0,0,1
2,36,35,4,1,18.0,0,2
5,51,3,1,5,5.0,0,1
6,28,21,1,1,21.0,2,1
5,24,23,1,1,21.0,8,1
8,8,28,1,1,21.0,0,1
9,6,16,1,1,19.0,0,1
2,42,32,1,1,19.0,0,1
3,26,39,1,1,21.0,0,1
5,12,12,5,1,19.0,0,2
3,39,26,1,1,12.0,3,1
7,48,8,1,5,13.0,0,1
6,28,12,1,5,21.0,1,1
9,6,7,1,5,13.0,0,1
5,37,29,1,3,20.0,0,1
9,53,4,1,5,5.0,0,1
7,48,24,5,1,20.0,0,2
8,35,6,1,5,9.0,0,1
3,18,15,5,1,16.0,0,2
3,17,21,1,3,16.0,2,1
7,48,8,1,5,14.0,0,1
3,17,35,1,3,16.0,0,1
6,47,37,1,1,16.0,0,1
3,17,24,1,1,21.0,1,1
4,27,20,4,1,18.0,3,2
7,48,8,1,5,14.0,0,1
9,6,24,1,3,21.0,9,1
6,28,20,1,1,24.0,9,1
9,6,12,1,5,16.0,2,1
8,49,8,1,5,16.0,0,1
5,24,35,1,1,22.0,0,1
7,48,1,1,5,0.0,0,1
3,18,17,1,1,20.0,2,1
5,12,35,1,5,22.0,0,1
3,55,36,1,3,16.0,0,1
9,6,20,1,3,20.0,5,1
5,37,14,1,5,19.0,1,1
9,2,33,1,1,19.0,0,1
9,53,32,1,3,16.0,0,1
5,13,40,1,2,16.0,0,1
1,9,12,1,5,21.0,7,1
3,17,24,1,3,20.0,1,1
5,54,0,1,5,0.0,0,1
3,39,38,1,3,13.0,0,1
9,6,3,1,5,4.0,0,1
5,24,27,1,1,16.0,7,1
9,41,4,1,5,5.0,0,1
5,37,5,1,5,7.0,0,1
5,37,21,1,3,19.0,0,1
8,32,32,1,5,17.0,0,1
5,51,40,4,1,21.0,0,2
2,36,34,1,3,19.0,0,1
4,19,18,1,1,24.0,4,1
2,36,27,1,1,21.0,1,1
6,47,15,1,1,16.0,3,1
4,27,31,1,1,20.0,4,1
3,18,19,1,5,17.0,0,1
5,45,15,1,5,24.0,6,1
2,34,41,1,2,16.0,0,1
9,6,8,1,5,12.0,0,1
9,41,34,1,1,16.0,0,1
5,12,34,1,3,16.0,6,1
7,48,22,1,1,15.0,1,1
8,4,31,1,1,22.0,2,1
8,56,7,1,5,11.0,0,1
5,10,31,1,1,22.0,0,1
8,49,14,1,5,20.0,4,1
9,6,15,4,1,21.0,5,2
5,51,41,1,2,16.0,0,1
6,1,25,1,1,21.0,3,1
8,16,28,1,1,21.0,4,1
2,42,43,1,3,16.0,0,1
2,36,20,1,1,22.0,4,1
5,13,25,1,1,19.0,6,1
9,41,32,1,3,21.0,8,1
8,4,25,1,1,19.0,3,1
3,39,33,1,1,19.0,0,1
8,35,34,1,1,19.0,0,1
7,22,20,1,1,21.0,6,1
5,12,21,1,1,16.0,0,1
2,42,8,1,5,13.0,0,1
5,12,45,1,4,19.0,0,1
9,41,12,1,1,21.0,0,1
7,48,20,5,1,22.0,0,2
7,48,5,1,5,6.0,0,1
9,6,17,5,1,22.0,0,2
2,42,3,1,5,2.0,0,1
5,12,25,4,2,19.0,1,2
1,25,6,1,5,9.0,0,1
2,36,20,1,1,22.0,9,1
8,16,16,1,5,19.0,0,1
3,18,19,1,1,19.0,2,1
7,48,8,1,5,14.0,0,1
7,22,24,5,1,21.0,3,2
9,41,35,1,1,19.0,0,1
7,48,21,1,1,22.0,7,1
6,28,20,1,3,21.0,2,1
9,6,29,4,1,16.0,1,2
3,39,31,1,1,16.0,8,1
7,48,24,1,2,11.0,1,1
2,36,29,1,1,21.0,6,1
3,18,34,1,2,11.0,0,1
9,6,3,1,5,2.0,0,1
4,29,9,1,5,19.0,0,1
6,47,38,1,3,19.0,0,1
5,37,22,1,5,16.0,0,1
9,6,24,4,1,22.0,20,2
6,21,3,1,5,3.0,0,1
9,53,36,1,1,19.0,0,1
3,39,9,1,5,16.0,1,1
6,47,3,1,5,3.0,0,1
2,36,1,1,5,1.0,0,1
9,6,25,4,1,22.0,8,2
5,37,33,1,1,21.0,3,1
9,2,36,1,1,21.0,0,1
3,26,36,1,1,21.0,0,1
9,53,36,1,3,16.0,0,1
7,5,31,1,1,19.0,0,1
2,36,27,1,5,24.0,7,1
5,51,29,1,3,19.0,3,1
9,6,27,1,3,21.0,3,1
8,49,29,5,1,16.0,0,2
8,8,21,4,1,22.0,5,2
4,29,18,1,3,21.0,2,1
8,16,37,1,1,21.0,0,1
8,32,9,4,1,18.0,0,2
7,48,21,1,1,18.0,6,1
5,37,20,1,1,17.0,0,1
8,8,15,4,1,16.0,0,2
5,45,41,1,1,16.0,0,1
9,6,37,1,1,18.0,0,1
2,42,34,1,1,22.0,0,1
3,18,22,1,1,19.0,2,1
5,13,25,1,4,19.0,0,1
5,12,4,1,5,6.0,0,1
5,45,35,1,1,16.0,3,1
5,12,48,4,2,12.0,0,2
8,32,3,1,5,2.0,0,1
3,26,34,1,1,1.0,0,1
7,48,15,1,1,23.0,2,1
7,48,38,1,1,15.0,0,1
9,6,9,1,5,18.0,0,1
1,44,41,5,1,1.0,0,2
5,51,45,1,1,24.0,0,1
8,32,1,1,5,0.0,0,1
9,41,4,1,5,4.0,0,1
7,48,7,1,5,11.0,0,1
2,42,45,1,2,23.0,0,1
5,37,35,1,2,21.0,0,1
1,9,42,1,2,23.0,0,1
7,48,11,1,5,19.0,2,1
7,48,4,1,5,5.0,0,1
3,17,22,5,1,21.0,0,2
3,39,20,1,1,21.0,5,1
7,22,8,1,5,14.0,0,1
9,6,31,1,5,16.0,0,1
9,6,28,5,2,18.0,1,2
5,51,30,1,3,17.0,0,1
7,48,10,1,5,16.0,0,1
5,12,38,1,1,21.0,0,1
3,39,28,1,1,19.0,7,1
5,12,7,1,5,10.0,0,1
7,48,12,1,5,16.0,0,1
2,36,23,1,5,16.0,1,1
2,34,27,1,1,16.0,0,1
7,48,27,1,1,19.0,0,1
9,6,36,1,2,20.0,0,1
1,9,23,1,1,22.0,6,1
4,19,29,1,5,16.0,0,1
6,47,38,1,1,19.0,0,1
8,49,43,1,1,21.0,0,1
3,39,19,5,1,16.0,1,2
9,6,6,1,5,10.0,0,1
4,31,0,1,5,0.0,0,1
8,8,27,1,1,21.0,6,1
7,22,43,1,2,20.0,0,1
3,39,2,1,5,2.0,0,1
9,6,9,1,5,16.0,0,1
7,48,12,1,1,16.0,0,1
5,13,25,1,1,19.0,0,1
8,8,17,1,5,20.0,4,1
6,21,13,1,5,24.0,4,1
9,6,2,1,5,2.0,0,1
6,47,23,1,3,19.0,2,1
9,6,32,1,1,18.0,2,1
9,6,22,4,1,21.0,5,2
2,36,21,1,1,20.0,0,1
3,26,26,1,3,14.0,0,1
9,6,6,1,5,9.0,0,1
5,45,5,1,5,7.0,0,1
2,42,45,1,1,15.0,0,1
4,19,30,1,2,19.0,2,1
7,22,15,1,1,21.0,0,1
3,18,36,1,1,22.0,0,1
3,39,19,1,3,20.0,3,1
5,12,26,1,3,20.0,5,1
7,40,31,1,2,18.0,1,1
9,6,12,1,5,21.0,1,1
9,53,28,1,1,22.0,7,1
2,36,5,1,5,7.0,0,1
2,36,6,1,5,9.0,0,1
8,16,36,1,1,17.0,0,1
3,26,29,1,5,19.0,0,1
3,39,28,1,1,19.0,3,1
3,17,31,1,1,18.0,1,1
2,34,13,1,5,20.0,3,1
5,13,31,1,1,21.0,0,1
5,12,32,4,3,22.0,2,2
3,18,25,1,1,24.0,13,1
4,27,29,1,1,21.0,2,1
5,12,31,1,1,19.0,0,1
5,24,37,1,1,16.0,0,1
8,32,14,1,5,21.0,3,1
4,27,28,1,1,23.0,5,1
2,36,27,1,1,21.0,4,1
4,27,19,1,1,21.0,0,1
0,72,3,2,5,4.0,0,1
3,55,7,1,5,11.0,0,1
5,12,27,1,1,18.0,38,1
5,37,9,1,5,16.0,0,1
7,48,4,1,5,5.0,0,1
6,47,14,1,1,17.0,1,1
8,16,24,1,1,12.0,0,1
1,9,26,1,3,20.0,2,1
8,16,15,1,1,21.0,2,1
3,55,35,1,1,20.0,0,1
7,48,41,1,1,16.0,0,1
5,37,23,1,1,20.0,1,1
6,21,32,1,1,16.0,0,1
5,13,0,1,5,0.0,0,1
9,53,1,1,5,0.0,0,1
3,26,18,1,1,16.0,4,1
8,8,36,1,3,21.0,0,1
1,25,21,2,1,23.0,0,1
3,39,8,1,5,13.0,0,1
4,29,2,1,5,1.0,0,1
0,72,6,2,5,10.0,0,1
3,18,30,1,1,20.0,5,1
3,26,4,1,5,7.0,0,1
8,30,17,1,1,21.0,2,1
5,13,34,1,3,1.0,0,1
3,17,27,1,1,21.0,4,1
6,21,11,1,5,21.0,0,1
9,6,28,1,1,21.0,9,1
2,42,35,1,1,21.0,0,1
9,6,2,1,5,1.0,0,1
5,12,37,1,5,20.0,0,1
9,41,37,1,3,20.0,0,1
4,29,32,1,4,17.0,1,1
5,12,23,1,3,20.0,7,1
8,49,25,1,1,18.0,6,1
5,51,13,1,5,22.0,2,1
7,48,18,1,1,16.0,9,1
2,36,30,1,1,20.0,9,1
9,6,41,4,5,16.0,1,2
5,45,32,1,1,13.0,0,1
2,36,14,1,5,16.0,1,1
7,40,42,1,2,20.0,0,1
5,51,19,1,1,20.0,0,1
9,6,16,1,1,22.0,5,1
2,36,30,1,1,21.0,15,1
5,51,25,1,5,20.0,0,1
9,6,25,1,5,18.0,5,1
8,8,18,1,5,17.0,0,1
5,24,33,1,1,21.0,4,1
8,49,6,1,5,9.0,0,1
9,6,34,1,4,21.0,0,1
4,27,10,1,5,19.0,0,1
5,12,15,4,5,16.0,2,2
4,27,27,1,5,18.0,1,1
8,32,8,1,5,14.0,0,1
8,49,27,1,5,16.0,0,1
9,6,5,1,5,7.0,0,1
5,37,1,1,5,0.0,0,1
3,18,19,1,1,16.0,0,1
7,48,6,1,5,9.0,0,1
9,6,28,1,3,24.0,6,1
9,6,16,5,4,16.0,0,2
2,42,10,1,5,19.0,0,1
7,48,16,4,1,22.0,6,2
8,16,2,1,5,1.0,0,1
6,47,24,1,3,22.0,3,1
8,4,5,1,5,8.0,0,1
3,17,5,1,5,8.0,0,1
7,48,24,5,4,1.0,0,2
5,51,32,1,1,16.0,0,1
2,42,19,1,5,13.0,0,1
9,6,9,1,5,16.0,0,1
7,48,13,1,5,16.0,0,1
3,17,5,1,5,9.0,0,1
7,48,20,1,1,16.0,0,1
3,39,26,1,1,22.0,9,1
7,22,35,1,1,16.0,0,1
6,21,4,1,5,6.0,0,1
9,41,34,1,3,21.0,0,1
3,55,3,1,5,3.0,0,1
5,12,19,5,1,21.0,6,2
7,48,27,5,1,20.0,0,2
2,36,19,5,1,16.0,1,2
3,39,19,1,3,18.0,1,1
3,17,0,1,5,0.0,0,1
5,13,20,1,1,19.0,8,1
7,40,23,4,4,20.0,2,2
3,18,6,1,5,10.0,0,1
9,6,48,1,1,23.0,0,1
0,72,40,2,1,14.0,0,1
2,42,35,1,3,21.0,0,1
2,36,18,4,1,20.0,1,2
8,8,15,1,5,23.0,12,1
3,17,34,1,1,19.0,0,1
2,34,14,1,1,21.0,4,1
5,54,44,1,2,17.0,0,1
5,37,14,1,5,19.0,1,1
9,6,8,1,5,14.0,0,1
9,6,17,1,5,18.0,0,1
5,37,3,1,5,4.0,0,1
9,53,24,4,3,16.0,2,2
9,6,25,1,1,21.0,5,1
8,4,12,1,5,20.0,1,1
7,48,18,1,3,14.0,0,1
5,12,20,1,4,22.0,6,1
6,21,28,1,1,16.0,3,1
5,24,6,1,5,10.0,0,1
9,6,20,5,5,12.0,2,2
7,48,14,1,5,21.0,2,1
9,6,7,1,5,11.0,0,1
3,55,32,1,1,17.0,0,1
5,51,45,1,2,21.0,0,1
5,13,35,1,1,16.0,0,1
7,48,31,1,1,19.0,2,1
7,48,30,1,3,19.0,3,1
4,19,15,1,5,13.0,0,1
3,17,18,1,1,19.0,4,1
8,32,25,1,5,19.0,0,1
7,48,33,1,1,22.0,0,1
3,17,6,1,5,9.0,0,1
9,6,16,1,5,21.0,6,1
9,6,45,1,2,23.0,0,1
8,4,31,1,1,16.0,1,1
5,13,44,1,1,21.0,0,1
5,45,32,1,1,18.0,0,1
0,72,26,2,1,21.0,15,1
9,53,17,1,1,21.0,5,1
7,22,19,1,3,19.0,0,1
4,29,2,1,5,1.0,0,1
2,36,23,1,5,16.0,1,1
9,6,14,5,1,21.0,2,2
6,1,20,1,1,24.0,5,1
3,39,31,1,1,23.0,13,1
8,30,15,1,5,21.0,0,1
6,47,26,1,3,16.0,4,1
3,39,6,4,5,10.0,0,2
1,25,14,1,5,23.0,3,1
7,48,41,1,2,21.0,0,1
3,55,28,1,1,16.0,5,1
1,33,35,1,1,21.0,2,1
2,36,41,4,3,16.0,0,2
3,17,29,1,1,21.0,0,1
3,39,10,1,5,19.0,0,1
3,39,35,1,1,16.0,0,1
9,6,19,1,1,13.0,1,1
6,28,31,1,2,19.0,1,1
8,4,42,1,3,18.0,0,1
9,6,3,1,5,3.0,0,1
7,48,30,1,5,16.0,2,1
1,33,7,1,5,11.0,0,1
5,13,19,1,1,21.0,7,1
4,27,8,1,5,12.0,0,1
9,6,29,1,1,22.0,22,1
8,4,36,5,1,15.0,0,2
9,6,22,4,1,22.0,9,2
5,13,17,1,5,22.0,5,1
6,47,32,1,1,21.0,0,1
8,16,2,1,5,2.0,0,1
9,6,6,1,5,10.0,0,1
3,26,26,3,1,21.0,9,1
7,5,2,1,5,2.0,0,1
5,45,25,1,1,20.0,1,1
0,72,5,2,5,7.0,0,1
2,36,3,1,5,4.0,0,1
8,4,36,1,1,18.0,0,1
7,48,2,1,5,2.0,0,1
5,51,28,1,1,21.0,0,1
2,36,15,1,5,15.0,3,1
2,42,12,5,5,16.0,2,2
2,36,13,5,5,21.0,13,2
9,6,17,1,3,21.0,0,1
9,6,24,4,1,22.0,19,2
5,54,31,1,1,16.0,0,1
6,21,9,1,5,18.0,1,1
7,48,31,1,1,18.0,3,1
5,24,35,1,1,16.0,0,1
5,12,24,4,1,22.0,0,2
9,6,29,1,1,19.0,0,1
5,13,25,1,5,22.0,4,1
3,55,1,1,5,0.0,0,1
5,45,24,1,1,21.0,2,1
9,6,25,1,2,16.0,0,1
4,29,39,1,1,21.0,0,1
7,48,34,1,3,19.0,0,1
8,8,41,1,2,16.0,0,1
1,9,31,1,1,21.0,22,1
5,45,32,1,1,19.0,2,1
7,40,26,1,3,1.0,2,1
3,39,27,1,1,21.0,3,1
7,22,14,1,5,22.0,2,1
9,6,14,1,5,14.0,0,1
9,6,30,1,2,13.0,0,1
1,9,32,1,3,20.0,7,1
8,35,30,4,1,22.0,2,2
5,13,24,1,2,21.0,5,1
5,12,8,1,5,13.0,0,1
7,48,28,1,1,21.0,5,1
5,12,32,1,1,22.0,0,1
4,29,21,1,1,16.0,1,1
2,42,31,1,1,16.0,2,1
4,31,12,1,5,16.0,2,1
9,15,26,1,1,16.0,3,1
5,37,12,1,5,9.0,0,1
5,24,35,1,1,16.0,0,1
6,1,8,1,5,12.0,0,1
7,48,21,4,5,12.0,2,2
7,48,17,1,1,20.0,1,1
2,36,1,1,5,1.0,0,1
3,26,48,1,1,19.0,0,1
3,17,3,1,5,3.0,0,1
7,48,19,4,1,21.0,0,2
6,1,14,1,5,16.0,8,1
4,27,31,1,1,16.0,0,1
7,48,11,1,5,19.0,1,1
1,9,14,1,5,16.0,0,1
5,51,4,1,5,6.0,0,1
7,48,6,1,5,11.0,0,1
7,40,11,5,5,16.0,0,2
1,25,24,4,1,16.0,3,2
6,21,1,1,5,1.0,0,1
2,34,2,1,5,2.0,0,1
5,12,32,1,1,15.0,0,1
2,36,44,5,2,1.0,0,2
2,34,6,1,5,10.0,0,1
7,40,5,1,5,8.0,0,1
3,55,32,1,1,18.0,0,1
9,6,42,4,1,24.0,0,2
7,5,1,1,5,0.0,0,1
5,12,29,4,1,19.0,1,2
3,18,37,1,1,21.0,0,1
3,17,24,4,1,20.0,4,2
2,42,1,1,5,0.0,0,1
4,27,30,1,2,16.0,1,1
2,34,24,5,3,21.0,1,2
9,41,19,1,5,16.0,0,1
3,17,46,1,2,18.0,0,1
4,20,13,1,5,22.0,2,1
9,6,33,1,3,20.0,3,1
7,22,28,1,5,16.0,0,1
7,22,34,1,5,18.0,0,1
9,53,5,1,5,7.0,0,1
6,28,39,1,1,19.0,0,1
9,6,22,1,5,17.0,0,1
5,12,27,1,1,22.0,0,1
9,41,40,1,1,21.0,0,1
2,34,11,1,5,16.0,2,1
7,48,13,1,5,18.0,0,1
8,4,5,1,5,6.0,0,1
5,37,24,1,4,20.0,2,1
5,13,28,1,3,16.0,3,1
1,25,34,1,5,19.0,0,1
4,27,11,1,5,18.0,0,1
2,36,2,1,5,1.0,0,1
5,13,19,1,5,18.0,0,1
4,19,27,1,4,18.0,0,1
9,6,2,1,5,1.0,0,1
3,55,20,1,1,18.0,0,1
4,27,17,1,5,16.0,0,1
7,48,19,4,5,15.0,1,2
2,34,25,1,1,22.0,5,1
3,39,32,1,1,16.0,3,1
6,21,11,1,5,21.0,1,1
7,48,15,1,5,22.0,2,1
2,36,8,5,5,14.0,0,2
5,12,10,1,5,19.0,0,1
9,6,21,1,1,23.0,0,1
3,55,9,1,5,14.0,0,1
2,36,33,1,3,21.0,0,1
9,6,8,1,5,14.0,0,1
7,40,25,1,1,21.0,4,1
5,51,21,1,1,21.0,6,1
5,13,28,1,1,24.0,2,1
3,26,3,1,5,4.0,0,1
1,9,31,1,1,20.0,0,1
1,9,28,1,5,17.0,5,1
5,54,39,1,1,16.0,0,1
6,47,34,1,2,20.0,0,1
6,47,30,1,1,16.0,4,1
2,42,46,1,2,21.0,0,1
8,4,15,1,5,17.0,1,1
2,36,20,5,1,17.0,0,2
3,39,26,1,2,16.0,0,1
4,46,12,1,1,21.0,0,1
3,26,31,1,1,21.0,0,1
1,9,46,1,1,21.0,0,1
2,36,44,1,1,16.0,0,1
9,6,3,1,5,5.0,0,1
5,12,34,1,3,22.0,0,1
5,51,41,1,1,22.0,0,1
4,20,18,1,1,21.0,0,1
5,13,27,1,3,23.0,10,1
7,48,7,1,5,12.0,0,1
7,48,22,1,3,16.0,1,1
2,36,20,1,5,22.0,1,1
6,21,11,1,5,16.0,1,1
5,12,26,1,1,15.0,2,1
2,36,7,1,5,12.0,0,1
2,36,34,4,1,21.0,0,2
5,12,40,1,3,21.0,0,1
9,6,8,1,5,12.0,0,1
9,6,32,1,1,18.0,0,1
3,39,10,1,5,20.0,0,1
9,6,23,4,1,21.0,5,2
3,26,6,1,5,8.0,0,1
2,42,38,1,3,16.0,0,1
6,47,24,1,5,21.0,0,1
4,29,32,1,1,23.0,0,1
5,24,34,1,1,21.0,8,1
3,17,4,1,5,6.0,0,1
1,25,38,1,3,21.0,0,1
2,36,13,1,5,16.0,0,1
5,13,21,1,1,22.0,5,1
8,4,8,1,5,15.0,1,1
5,51,28,1,2,20.0,1,1
9,6,16,1,5,1.0,2,1
6,28,20,1,1,22.0,3,1
5,54,35,1,3,20.0,2,1
6,1,28,1,3,14.0,0,1
5,24,45,1,1,20.0,0,1
6,21,14,1,1,21.0,3,1
5,12,20,1,1,18.0,0,1
7,22,11,1,5,19.0,0,1
2,42,34,1,1,7.0,1,1
5,37,3,1,5,4.0,0,1
3,17,29,4,1,19.0,0,2
6,47,40,1,3,22.0,0,1
6,47,32,1,1,18.0,0,1
2,36,22,1,1,22.0,5,1
4,38,36,1,1,22.0,0,1
5,37,11,1,5,20.0,0,1
0,72,26,2,5,16.0,0,1
5,12,28,1,1,22.0,0,1
4,27,22,1,1,20.0,2,1
5,24,14,1,5,16.0,0,1
2,42,28,1,1,21.0,5,1
9,6,22,1,1,19.0,0,1
7,48,41,1,1,21.0,0,1
3,26,31,1,1,18.0,0,1
7,22,45,1,5,19.0,0,1
7,48,30,1,1,17.0,2,1
8,8,36,1,1,21.0,0,1
5,51,39,1,2,6.0,0,1
2,36,27,4,1,13.0,1,2
9,6,25,4,1,21.0,9,2
3,17,36,1,1,16.0,0,1
4,19,27,1,3,17.0,1,1
2,36,27,1,3,21.0,11,1
7,48,6,1,5,9.0,0,1
1,25,9,1,5,17.0,0,1
6,21,30,1,2,16.0,0,1
2,36,3,1,5,4.0,0,1
2,36,32,1,5,12.0,0,1
3,17,5,1,5,8.0,0,1
7,40,23,1,1,13.0,6,1
1,9,38,1,1,21.0,0,1
9,6,7,3,5,12.0,0,1
1,33,29,1,1,18.0,0,1
5,37,40,1,1,24.0,0,1
7,48,27,1,5,20.0,1,1
6,1,29,1,1,19.0,2,1
9,41,30,1,3,21.0,3,1
2,42,18,1,1,21.0,3,1
2,42,26,1,1,14.0,7,1
3,17,31,1,3,19.0,0,1
8,32,36,1,2,18.0,0,1
4,29,35,1,1,19.0,0,1
9,53,25,1,3,20.0,0,1
6,21,32,1,1,21.0,0,1
5,12,30,1,3,18.0,0,1
7,48,31,1,1,18.0,0,1
2,36,8,1,5,16.0,0,1
7,48,24,1,1,16.0,0,1
8,32,40,1,2,23.0,0,1
7,48,28,5,1,7.0,0,2
9,6,31,4,1,17.0,0,2
7,48,17,4,1,20.0,2,2
2,36,38,1,1,23.0,0,1
9,6,4,1,5,6.0,0,1
4,29,29,1,1,21.0,0,1
4,29,9,1,5,18.0,0,1
5,13,38,1,2,16.0,0,1
6,28,2,1,5,2.0,0,1
5,51,21,3,5,21.0,11,1
6,28,7,1,5,13.0,0,1
7,40,13,1,5,21.0,0,1
5,45,8,1,5,13.0,0,1
1,23,0,1,5,0.0,0,1
4,27,36,1,3,1.0,0,1
4,31,5,1,5,9.0,0,1
5,37,30,1,3,16.0,2,1
5,24,9,1,5,11.0,0,1
7,40,17,1,5,19.0,0,1
9,6,3,1,5,3.0,0,1
3,55,11,1,5,21.0,1,1
5,24,1,1,5,1.0,0,1
5,24,30,1,1,16.0,2,1
5,51,19,1,1,22.0,1,1
7,48,31,1,5,21.0,0,1
6,21,1,1,5,1.0,0,1
7,40,17,1,1,21.0,2,1
3,39,28,1,1,16.0,2,1
0,72,5,2,5,9.0,0,1
6,1,24,1,1,20.0,5,1
2,36,36,1,3,22.0,0,1
2,36,20,1,4,16.0,0,1
3,39,38,1,3,14.0,0,1
3,39,4,1,5,6.0,0,1
6,28,25,1,3,16.0,8,1
9,6,2,1,5,3.0,0,1
9,6,4,5,5,6.0,0,2
3,39,29,1,3,12.0,6,1
8,49,24,5,1,20.0,6,2
9,6,30,1,1,22.0,3,1
5,37,17,1,5,21.0,1,1
8,4,17,1,5,16.0,0,1
2,36,17,1,1,15.0,2,1
5,13,34,1,3,21.0,0,1
3,39,34,1,1,16.0,0,1
5,12,11,1,5,16.0,0,1
2,34,27,1,1,22.0,5,1
2,36,14,1,5,21.0,2,1
4,31,15,1,5,17.0,0,1
4,20,17,1,1,18.0,0,1
2,36,1,1,5,1.0,0,1
0,72,37,2,3,12.0,0,1
3,55,34,1,1,13.0,0,1
2,42,14,5,5,21.0,1,2
2,36,19,1,5,16.0,5,1
5,12,37,1,1,16.0,0,1
8,49,5,1,5,7.0,0,1
4,29,15,1,5,18.0,1,1
1,9,3,1,5,5.0,0,1
9,6,18,1,5,20.0,1,1
6,21,2,1,5,1.0,0,1
5,37,19,1,1,21.0,2,1
8,32,18,4,1,19.0,1,2
1,9,24,5,1,20.0,7,2
5,13,36,1,1,20.0,0,1
8,16,23,1,1,21.0,2,1
9,6,21,1,5,21.0,6,1
5,37,9,1,5,18.0,0,1
4,29,21,1,1,20.0,2,1
5,12,7,4,5,12.0,0,2
5,12,39,1,1,18.0,5,1
3,39,17,1,1,20.0,4,1
8,4,29,1,1,21.0,0,1
6,47,37,1,1,20.0,0,1
9,6,34,3,1,9.0,0,1
5,12,12,1,1,16.0,3,1
4,29,29,1,4,19.0,0,1
4,19,43,1,2,19.0,0,1
3,17,21,1,1,16.0,0,1
3,39,30,1,1,16.0,1,1
5,10,37,3,1,22.0,0,1
7,48,36,1,1,21.0,0,1
6,1,25,1,1,21.0,2,1
9,41,20,5,1,13.0,2,2
9,6,10,1,5,20.0,1,1
5,24,17,4,3,21.0,3,2
5,12,38,1,1,15.0,0,1
8,8,29,1,3,18.0,0,1
4,31,16,1,5,19.0,2,1
7,48,23,1,3,21.0,3,1
6,47,33,1,1,21.0,0,1
2,42,38,1,3,23.0,0,1
9,6,27,4,3,19.0,0,2
2,42,10,1,5,19.0,0,1
5,24,4,1,5,7.0,0,1
5,37,23,1,5,16.0,0,1
2,36,2,1,5,2.0,0,1
4,27,10,1,5,19.0,0,1
